"","securities.name","year.code","month.code","KV2001","KV2002","KV2003","KV2004","KV2005","KV2006","KV2007","KV2008","KV2009"
"475","SECURITIES#10",2021,9,1360.35064259713,36.3941104911967,104.349557964076,9.73008282177718,1.13561190387229,36.4555714890037,NA,-5.74693082063084,182.872380097247
"476","SECURITIES#10",2021,12,1467.47641334225,36.7542567269891,103.958969404975,13.4471271885046,1.62471269989918,53.8577993932588,NA,-7.82344591388717,183.200027629871
"477","SECURITIES#10",2022,3,1408.24827278805,37.983516545901,102.648787635024,3.8170115425348,0.411846198649154,22.5308158844994,NA,-4.41429883385823,179.715149698005
"478","SECURITIES#10",2022,6,1559.6701582349,39.6973276298465,101.868354507009,6.21674949957759,0.679783041174868,51.5364532342453,NA,-6.67597744103388,186.195730760277
"479","SECURITIES#10",2022,9,1568.67543273159,37.0869616233879,101.561477843346,8.71324845599555,0.969212028071811,86.7718651431091,NA,-2.55598584493745,183.42426034638
"480","SECURITIES#10",2022,12,1709.11150731744,36.5032774126137,101.859586501667,14.3163664442954,1.78067029219399,130.043561527671,NA,-10.4650846755908,194.790749493112
"481","SECURITIES#11",2011,3,NA,NA,110.418697211703,8.94618812937592,1.42778589565901,19.6450936024376,NA,-5.50517191460203,NA
"482","SECURITIES#11",2011,6,NA,NA,105.405907652048,1.28765930963905,0.176351882345421,4.21150793547872,NA,-2.35021867594297,NA
"483","SECURITIES#11",2011,9,NA,NA,104.046022992627,2.68098054694772,0.35061626784941,10.6206604242538,NA,16.3900949676568,NA
"484","SECURITIES#11",2011,12,NA,NA,104.613651026192,2.49535516770181,0.473627926719288,12.3214250020283,NA,3.4422866358405,NA
"485","SECURITIES#11",2012,3,NA,NA,107.657638945094,4.33127727591621,0.771676597484081,13.5212116610747,NA,-4.5972107531643,NA
"486","SECURITIES#11",2012,6,NA,NA,102.409347206883,0.558488953023219,0.0948735568749817,3.81640558675188,NA,0.753518865516074,NA
"487","SECURITIES#11",2012,9,NA,NA,104.079703113042,1.56462177465185,0.246050876532841,7.24283268165889,NA,-3.27072757231315,NA
"488","SECURITIES#11",2012,12,NA,NA,103.644816621604,1.80105069863004,0.305291964120954,10.5201735322308,NA,-7.16646816680211,NA
"489","SECURITIES#11",2013,3,NA,NA,103.984556347128,2.46567198336335,0.395831084542669,12.7353652696949,NA,-6.91527944995572,NA
"490","SECURITIES#11",2013,6,NA,NA,100.054625374532,0.102317579192389,0.0154516430438147,4.93395721698333,NA,6.59869952433964,NA
"491","SECURITIES#11",2013,9,NA,NA,99.9917373405292,0.0373877735669198,0.005452803810733,6.32699393037767,NA,-0.233919723072977,NA
"492","SECURITIES#11",2013,12,NA,NA,98.5357539996594,-0.864907429356677,-0.131059056950447,9.15708537008376,NA,-3.66204560104487,NA
"493","SECURITIES#11",2014,3,NA,NA,107.36972878041,1.12716327003231,0.16553491923203,3.18909147815077,NA,0.539780051674789,NA
"494","SECURITIES#11",2014,6,NA,NA,106.039861886362,2.24526614475946,0.323863120148763,7.23111898934314,NA,-2.43554758381955,NA
"495","SECURITIES#11",2014,9,NA,NA,107.735104650292,4.55101231108356,0.665502262488929,12.3795767882502,NA,2.4716333336803,NA
"496","SECURITIES#11",2014,12,NA,NA,107.172801217946,4.65862797877987,0.633490549486422,12.5309047426238,NA,6.27120581043132,NA
"497","SECURITIES#11",2015,3,929.794270833333,70.1958854779477,110.281674891751,2.50886773012084,0.307569567369302,4.23472281823394,NA,-0.962246126050202,456.442685492209
"498","SECURITIES#11",2015,6,952.983258928571,69.9401006912912,113.006376817981,5.13585509791567,0.6317469222234,7.11177347587336,NA,-1.18346127371743,445.661651893123
"499","SECURITIES#11",2015,9,938.538318452381,72.2978936220287,108.225916793286,6.23482582556063,0.772898198875,13.2927548452796,NA,13.7081833158175,409.238325684475
"500","SECURITIES#11",2015,12,905.050595238095,67.4494152701991,108.294193499807,6.61590059621622,0.82734213314757,14.321174452296,NA,6.47180594234779,394.669420236314
"501","SECURITIES#11",2016,3,1783.35788690476,66.2874383156241,103.775568474421,1.10337743052265,0.130242741279767,4.70332825957575,NA,4.2013658545717,381.814911011065
"502","SECURITIES#11",2016,6,1765.5431547619,66.3574385718306,104.141163640166,2.00703776110559,0.230272401959688,7.40761541262456,NA,-0.107810145777563,399.414140623916
"503","SECURITIES#11",2016,9,1834.01711309524,67.9227091614236,104.408342702335,3.08620538382281,0.373295605480421,11.2099640470068,NA,-9.80849628076984,397.439044109307
"504","SECURITIES#11",2016,12,1702.375,69.032864142817,101.05536979994,0.421835754241783,0.0497276978683633,7.40938944800128,NA,-11.5731917328562,242.816516338441
"505","SECURITIES#11",2017,3,1752.93824404762,71.6035538687139,103.242037746977,1.05789607935787,0.121415636922451,5.03383396314872,NA,-8.18827466388882,231.962133441474
"506","SECURITIES#11",2017,6,1977.72395833333,67.6101844280822,105.587385738616,2.74894609397061,0.327443645981415,8.10271959403485,NA,-10.3739095371625,232.042528839553
